fecha,pais,pais_code,socio,socio_code,exportaciones,importaciones
2017-11,Canadá,CA,Austria,AT,48961589.430771835,48961589.430771835
2017-12,Canadá,CA,Austria,AT,48537883.35347851,48537883.35347851
2018-01,Canadá,CA,Austria,AT,49451092.869152404,49451092.869152404
2018-02,Canadá,CA,Austria,AT,48305444.98975925,48305444.98975925
2018-03,Canadá,CA,Austria,AT,47041886.69326926,47041886.69326926
2018-04,Canadá,CA,Austria,AT,48008603.14168299,48008603.14168299
2018-05,Canadá,CA,Austria,AT,49351107.70804571,49351107.70804571
2018-06,Canadá,CA,Austria,AT,56273767.80255067,56273767.80255067
2018-07,Canadá,CA,Austria,AT,56166139.29202644,56166139.29202644
2018-08,Canadá,CA,Austria,AT,57260832.291790105,57260832.291790105
2018-09,Canadá,CA,Austria,AT,56704063.955609754,56704063.955609754
2018-10,Canadá,CA,Austria,AT,50217609.64178105,50217609.64178105
2018-11,Canadá,CA,Austria,AT,50005152.045966856,50005152.045966856
2018-12,Canadá,CA,Austria,AT,49090871.50938134,49090871.50938134
2019-01,Canadá,CA,Austria,AT,50451420.56643307,50451420.56643307
2019-02,Canadá,CA,Austria,AT,51129517.737496614,51129517.737496614
2019-03,Canadá,CA,Austria,AT,50758860.73155894,50758860.73155894
2019-04,Canadá,CA,Austria,AT,50992299.05431456,50992299.05431456
2019-05,Canadá,CA,Austria,AT,50914242.70598132,50914242.70598132
2019-06,Canadá,CA,Austria,AT,58733140.59092868,58733140.59092868
2019-07,Canadá,CA,Austria,AT,60005543.373940945,60005543.373940945
2019-08,Canadá,CA,Austria,AT,59701890.67957015,59701890.67957015
2019-09,Canadá,CA,Austria,AT,60480446.34340861,60480446.34340861
2019-10,Canadá,CA,Austria,AT,52578273.54418205,52578273.54418205
2019-11,Canadá,CA,Austria,AT,52403224.91398985,52403224.91398985
2019-12,Canadá,CA,Austria,AT,52367941.71220401,52367941.71220401
2020-01,Canadá,CA,Austria,AT,53936588.51599368,53936588.51599368
2020-02,Canadá,CA,Austria,AT,54077252.23126194,54077252.23126194
2020-03,Canadá,CA,Austria,AT,50810461.2548111,50810461.2548111
2020-04,Canadá,CA,Austria,AT,51240790.28561834,51240790.28561834
2020-05,Canadá,CA,Austria,AT,51471425.69278349,51471425.69278349
2020-06,Canadá,CA,Austria,AT,59054844.374517545,59054844.374517545
2020-07,Canadá,CA,Austria,AT,58189281.91949872,58189281.91949872
2020-08,Canadá,CA,Austria,AT,57548277.58240885,57548277.58240885
2020-09,Canadá,CA,Austria,AT,57799113.2057676,57799113.2057676
2020-10,Canadá,CA,Austria,AT,50346730.23793367,50346730.23793367
2020-11,Canadá,CA,Austria,AT,50628937.59252352,50628937.59252352
2020-12,Canadá,CA,Austria,AT,50228310.502281636,50228310.502281636
2021-01,Canadá,CA,Austria,AT,51634389.794462845,51634389.794462845
2021-02,Canadá,CA,Austria,AT,52104704.40349882,52104704.40349882
2021-03,Canadá,CA,Austria,AT,53440368.97089578,53440368.97089578
2021-04,Canadá,CA,Austria,AT,53420765.31923915,53420765.31923915
2021-05,Canadá,CA,Austria,AT,54301801.65620564,54301801.65620564
2021-06,Canadá,CA,Austria,AT,62530315.15402258,62530315.15402258
2021-07,Canadá,CA,Austria,AT,62138306.85394042,62138306.85394042
2021-08,Canadá,CA,Austria,AT,62048394.06861647,62048394.06861647
2021-09,Canadá,CA,Austria,AT,61705435.8098857,61705435.8098857
2021-10,Canadá,CA,Austria,AT,55415550.659049034,55415550.659049034
2021-11,Canadá,CA,Austria,AT,55790658.234670155,55790658.234670155
2021-12,Canadá,CA,Austria,AT,55315221.60660772,55315221.60660772
2022-01,Canadá,CA,Austria,AT,57180580.60794831,57180580.60794831
2022-02,Canadá,CA,Austria,AT,56625665.06265802,56625665.06265802
2022-03,Canadá,CA,Austria,AT,58543873.10057096,58543873.10057096
2022-04,Canadá,CA,Austria,AT,59818911.25726233,59818911.25726233
2022-05,Canadá,CA,Austria,AT,60100643.48945085,60100643.48945085
2022-06,Canadá,CA,Austria,AT,69378686.63465612,69378686.63465612
2022-07,Canadá,CA,Austria,AT,71257727.34006152,71257727.34006152
2022-08,Canadá,CA,Austria,AT,71812713.46281284,71812713.46281284
2022-09,Canadá,CA,Austria,AT,71221584.90288784,71221584.90288784
2022-10,Canadá,CA,Austria,AT,60595567.867037505,60595567.867037505
2022-11,Canadá,CA,Austria,AT,59574731.47159415,59574731.47159415
2022-12,Canadá,CA,Austria,AT,56797294.92533575,56797294.92533575
2023-01,Canadá,CA,Austria,AT,57574139.79001105,57574139.79001105
2023-02,Canadá,CA,Austria,AT,57871977.92531274,57871977.92531274
2023-03,Canadá,CA,Austria,AT,56887886.34294952,56887886.34294952
2023-04,Canadá,CA,Austria,AT,56338239.7680371,56338239.7680371
2023-05,Canadá,CA,Austria,AT,56738466.61714841,56738466.61714841
2023-06,Canadá,CA,Austria,AT,66486496.14588345,66486496.14588345
2023-07,Canadá,CA,Austria,AT,65560366.03044798,65560366.03044798
2023-08,Canadá,CA,Austria,AT,65177707.20350349,65177707.20350349
2023-09,Canadá,CA,Austria,AT,66285040.495630495,66285040.495630495
2023-10,Canadá,CA,Austria,AT,57572874.17396046,57572874.17396046
2023-11,Canadá,CA,Austria,AT,56200154.29496734,56200154.29496734
2023-12,Canadá,CA,Austria,AT,56869541.27231965,56869541.27231965
2024-01,Canadá,CA,Austria,AT,58095823.93547946,58095823.93547946
2024-02,Canadá,CA,Austria,AT,58361369.6775885,58361369.6775885
2024-03,Canadá,CA,Austria,AT,57720841.637777954,57720841.637777954
2024-04,Canadá,CA,Austria,AT,57977510.57237014,57977510.57237014
2024-05,Canadá,CA,Austria,AT,57511563.82245984,57511563.82245984
2024-06,Canadá,CA,Austria,AT,66272309.700164415,66272309.700164415
2024-07,Canadá,CA,Austria,AT,65744071.11735044,65744071.11735044
2024-08,Canadá,CA,Austria,AT,64953108.718305744,64953108.718305744
2024-09,Canadá,CA,Austria,AT,65007552.94184834,65007552.94184834
2024-10,Canadá,CA,Austria,AT,56693452.26875405,56693452.26875405
2024-11,Canadá,CA,Austria,AT,57219241.051679485,57219241.051679485
2024-12,Canadá,CA,Austria,AT,56989416.73008136,56989416.73008136
2025-01,Canadá,CA,Austria,AT,58151178.8321569,58151178.8321569
2025-02,Canadá,CA,Austria,AT,58191519.48128975,58191519.48128975
2025-03,Canadá,CA,Austria,AT,55848607.313712165,55848607.313712165
2025-04,Canadá,CA,Austria,AT,55198006.92734987,55198006.92734987
2025-05,Canadá,CA,Austria,AT,55392388.11194267,55392388.11194267
2025-06,Canadá,CA,Austria,AT,63265121.05915234,63265121.05915234
2025-07,Canadá,CA,Austria,AT,62362332.67951429,62362332.67951429
2025-08,Canadá,CA,Austria,AT,62070724.44513132,62070724.44513132
2025-09,Canadá,CA,Austria,AT,61422159.225135855,61422159.225135855
2025-10,Canadá,CA,Austria,AT,53234200.21400576,53234200.21400576
2025-11,Canadá,CA,Austria,AT,53339241.680104055,53339241.680104055
2025-12,Canadá,CA,Austria,AT,53602721.36893214,53602721.36893214
2026-01,Canadá,CA,Austria,AT,54617778.602197066,54617778.602197066
2026-02,Canadá,CA,Austria,AT,,
2013-01,Canadá,CA,Australia,AU,151639951.61307415,151639951.61307415
2013-02,Canadá,CA,Australia,AU,148397676.09239239,148397676.09239239
2013-03,Canadá,CA,Australia,AU,150543461.8974498,150543461.8974498
2013-04,Canadá,CA,Australia,AU,150742947.3835337,150742947.3835337
2013-05,Canadá,CA,Australia,AU,150859556.61004448,150859556.61004448
2013-06,Canadá,CA,Australia,AU,169170512.8440873,169170512.8440873
2013-07,Canadá,CA,Australia,AU,168883866.0038953,168883866.0038953
2013-08,Canadá,CA,Australia,AU,166024660.8962663,166024660.8962663
2013-09,Canadá,CA,Australia,AU,166461605.2688717,166461605.2688717
2013-10,Canadá,CA,Australia,AU,141566339.21756944,141566339.21756944
2013-11,Canadá,CA,Australia,AU,141395098.30325788,141395098.30325788
2013-12,Canadá,CA,Australia,AU,137173270.41652665,137173270.41652665
2014-01,Canadá,CA,Australia,AU,137728848.238691,137728848.238691
2014-02,Canadá,CA,Australia,AU,135816905.56087416,135816905.56087416
2014-03,Canadá,CA,Australia,AU,133530605.0285647,133530605.0285647
2014-04,Canadá,CA,Australia,AU,135034104.34513402,135034104.34513402
2014-05,Canadá,CA,Australia,AU,137118068.0526054,137118068.0526054
2014-06,Canadá,CA,Australia,AU,160073396.2752204,160073396.2752204
2014-07,Canadá,CA,Australia,AU,162322402.5721351,162322402.5721351
2014-08,Canadá,CA,Australia,AU,162053479.36667594,162053479.36667594
2014-09,Canadá,CA,Australia,AU,166062589.250832,166062589.250832
2014-10,Canadá,CA,Australia,AU,144222239.8952717,144222239.8952717
2014-11,Canadá,CA,Australia,AU,145015704.13966784,145015704.13966784
2014-12,Canadá,CA,Australia,AU,144205646.29586968,144205646.29586968
2015-01,Canadá,CA,Australia,AU,149587870.15366286,149587870.15366286
2015-02,Canadá,CA,Australia,AU,147902947.49445364,147902947.49445364
2015-03,Canadá,CA,Australia,AU,153727901.61414295,153727901.61414295
2015-04,Canadá,CA,Australia,AU,157741739.2153475,157741739.2153475
2015-05,Canadá,CA,Australia,AU,154781076.9077689,154781076.9077689
2015-06,Canadá,CA,Australia,AU,174319602.3426304,174319602.3426304
2015-07,Canadá,CA,Australia,AU,170985030.152098,170985030.152098
2015-08,Canadá,CA,Australia,AU,164987995.54956475,164987995.54956475
2015-09,Canadá,CA,Australia,AU,162280540.99622872,162280540.99622872
2015-10,Canadá,CA,Australia,AU,143005277.5757174,143005277.5757174
2015-11,Canadá,CA,Australia,AU,147384673.99913332,147384673.99913332
2015-12,Canadá,CA,Australia,AU,140900052.45629486,140900052.45629486
2016-01,Canadá,CA,Australia,AU,139184250.81649366,139184250.81649366
2016-02,Canadá,CA,Australia,AU,140367785.36008862,140367785.36008862
2016-03,Canadá,CA,Australia,AU,146288358.16833368,146288358.16833368
2016-04,Canadá,CA,Australia,AU,147670630.71548682,147670630.71548682
2016-05,Canadá,CA,Australia,AU,147002150.64457545,147002150.64457545
2016-06,Canadá,CA,Australia,AU,170787610.48054668,170787610.48054668
2016-07,Canadá,CA,Australia,AU,171364213.9309269,171364213.9309269
2016-08,Canadá,CA,Australia,AU,169844484.06760272,169844484.06760272
2016-09,Canadá,CA,Australia,AU,168458770.26181436,168458770.26181436
2016-10,Canadá,CA,Australia,AU,147322258.87604517,147322258.87604517
2016-11,Canadá,CA,Australia,AU,148086459.95091382,148086459.95091382
2016-12,Canadá,CA,Australia,AU,152805322.9725848,152805322.9725848
2017-01,Canadá,CA,Australia,AU,156784492.58836943,156784492.58836943
2017-02,Canadá,CA,Australia,AU,157795454.05641904,157795454.05641904
2017-03,Canadá,CA,Australia,AU,153783032.20022607,153783032.20022607
2017-04,Canadá,CA,Australia,AU,152695892.24914345,152695892.24914345
2017-05,Canadá,CA,Australia,AU,146270406.83723843,146270406.83723843
2017-06,Canadá,CA,Australia,AU,169329102.6409398,169329102.6409398
2017-07,Canadá,CA,Australia,AU,172799032.09124544,172799032.09124544
2017-08,Canadá,CA,Australia,AU,169924601.25100163,169924601.25100163
2017-09,Canadá,CA,Australia,AU,172830510.2940369,172830510.2940369
2017-10,Canadá,CA,Australia,AU,148637236.08445662,148637236.08445662
2017-11,Canadá,CA,Australia,AU,146884768.2923155,146884768.2923155
2017-12,Canadá,CA,Australia,AU,145613650.06043556,145613650.06043556
2018-01,Canadá,CA,Australia,AU,148353278.60745722,148353278.60745722
2018-02,Canadá,CA,Australia,AU,144916334.96927774,144916334.96927774
2018-03,Canadá,CA,Australia,AU,141125660.0798078,141125660.0798078
2018-04,Canadá,CA,Australia,AU,144025809.42504898,144025809.42504898
2018-05,Canadá,CA,Australia,AU,148053323.12413713,148053323.12413713
2018-06,Canadá,CA,Australia,AU,168821303.40765202,168821303.40765202
2018-07,Canadá,CA,Australia,AU,168498417.87607932,168498417.87607932
2018-08,Canadá,CA,Australia,AU,171782496.87537032,171782496.87537032
2018-09,Canadá,CA,Australia,AU,170112191.86682928,170112191.86682928
2018-10,Canadá,CA,Australia,AU,150652828.92534316,150652828.92534316
2018-11,Canadá,CA,Australia,AU,150015456.13790056,150015456.13790056
2018-12,Canadá,CA,Australia,AU,147272614.528144,147272614.528144
2019-01,Canadá,CA,Australia,AU,151354261.69929922,151354261.69929922
2019-02,Canadá,CA,Australia,AU,153388553.2124898,153388553.2124898
2019-03,Canadá,CA,Australia,AU,152276582.19467682,152276582.19467682
2019-04,Canadá,CA,Australia,AU,152976897.16294366,152976897.16294366
2019-05,Canadá,CA,Australia,AU,152742728.11794394,152742728.11794394
2019-06,Canadá,CA,Australia,AU,176199421.77278602,176199421.77278602
2019-07,Canadá,CA,Australia,AU,180016630.1218228,180016630.1218228
2019-08,Canadá,CA,Australia,AU,179105672.03871045,179105672.03871045
2019-09,Canadá,CA,Australia,AU,181441339.0302258,181441339.0302258
2019-10,Canadá,CA,Australia,AU,157734820.63254616,157734820.63254616
2019-11,Canadá,CA,Australia,AU,157209674.74196953,157209674.74196953
2019-12,Canadá,CA,Australia,AU,157103825.13661203,157103825.13661203
2020-01,Canadá,CA,Australia,AU,161809765.54798105,161809765.54798105
2020-02,Canadá,CA,Australia,AU,162231756.69378585,162231756.69378585
2020-03,Canadá,CA,Australia,AU,152431383.76443332,152431383.76443332
2020-04,Canadá,CA,Australia,AU,153722370.85685503,153722370.85685503
2020-05,Canadá,CA,Australia,AU,154414277.07835048,154414277.07835048
2020-06,Canadá,CA,Australia,AU,177164533.12355268,177164533.12355268
2020-07,Canadá,CA,Australia,AU,174567845.7584962,174567845.7584962
2020-08,Canadá,CA,Australia,AU,172644832.7472266,172644832.7472266
2020-09,Canadá,CA,Australia,AU,173397339.61730283,173397339.61730283
2020-10,Canadá,CA,Australia,AU,151040190.71380103,151040190.71380103
2020-11,Canadá,CA,Australia,AU,151886812.77757058,151886812.77757058
2020-12,Canadá,CA,Australia,AU,150684931.5068449,150684931.5068449
2021-01,Canadá,CA,Australia,AU,154903169.38338858,154903169.38338858
2021-02,Canadá,CA,Australia,AU,156314113.21049652,156314113.21049652
2021-03,Canadá,CA,Australia,AU,160321106.9126874,160321106.9126874
2021-04,Canadá,CA,Australia,AU,160262295.95771748,160262295.95771748
2021-05,Canadá,CA,Australia,AU,162905404.96861696,162905404.96861696
2021-06,Canadá,CA,Australia,AU,187590945.4620678,187590945.4620678
2021-07,Canadá,CA,Australia,AU,186414920.56182134,186414920.56182134
2021-08,Canadá,CA,Australia,AU,186145182.2058495,186145182.2058495
2021-09,Canadá,CA,Australia,AU,185116307.4296572,185116307.4296572
2021-10,Canadá,CA,Australia,AU,166246651.97714713,166246651.97714713
2021-11,Canadá,CA,Australia,AU,167371974.7040105,167371974.7040105
2021-12,Canadá,CA,Australia,AU,165945664.81982318,165945664.81982318
2022-01,Canadá,CA,Australia,AU,171541741.82384494,171541741.82384494
2022-02,Canadá,CA,Australia,AU,169876995.1879741,169876995.1879741
2022-03,Canadá,CA,Australia,AU,175631619.3017129,175631619.3017129
2022-04,Canadá,CA,Australia,AU,179456733.77178702,179456733.77178702
2022-05,Canadá,CA,Australia,AU,180301930.46835256,180301930.46835256
2022-06,Canadá,CA,Australia,AU,208136059.90396842,208136059.90396842
2022-07,Canadá,CA,Australia,AU,213773182.0201846,213773182.0201846
2022-08,Canadá,CA,Australia,AU,215438140.38843858,215438140.38843858
2022-09,Canadá,CA,Australia,AU,213664754.70866358,213664754.70866358
2022-10,Canadá,CA,Australia,AU,181786703.60111254,181786703.60111254
2022-11,Canadá,CA,Australia,AU,178724194.41478246,178724194.41478246
2022-12,Canadá,CA,Australia,AU,170391884.77600726,170391884.77600726
2023-01,Canadá,CA,Australia,AU,172722419.37003314,172722419.37003314
2023-02,Canadá,CA,Australia,AU,173615933.77593824,173615933.77593824
2023-03,Canadá,CA,Australia,AU,170663659.02884856,170663659.02884856
2023-04,Canadá,CA,Australia,AU,169014719.30411133,169014719.30411133
2023-05,Canadá,CA,Australia,AU,170215399.85144523,170215399.85144523
2023-06,Canadá,CA,Australia,AU,199459488.43765038,199459488.43765038
2023-07,Canadá,CA,Australia,AU,196681098.091344,196681098.091344
2023-08,Canadá,CA,Australia,AU,195533121.6105105,195533121.6105105
2023-09,Canadá,CA,Australia,AU,198855121.48689154,198855121.48689154
2023-10,Canadá,CA,Australia,AU,172718622.5218814,172718622.5218814
2023-11,Canadá,CA,Australia,AU,168600462.88490203,168600462.88490203
2023-12,Canadá,CA,Australia,AU,170608623.81695896,170608623.81695896
2024-01,Canadá,CA,Australia,AU,174287471.8064384,174287471.8064384
2024-02,Canadá,CA,Australia,AU,175084109.03276548,175084109.03276548
2024-03,Canadá,CA,Australia,AU,173162524.91333386,173162524.91333386
2024-04,Canadá,CA,Australia,AU,173932531.71711043,173932531.71711043
2024-05,Canadá,CA,Australia,AU,172534691.4673795,172534691.4673795
2024-06,Canadá,CA,Australia,AU,198816929.10049325,198816929.10049325
2024-07,Canadá,CA,Australia,AU,197232213.35205132,197232213.35205132
2024-08,Canadá,CA,Australia,AU,194859326.15491724,194859326.15491724
2024-09,Canadá,CA,Australia,AU,195022658.825545,195022658.825545
2024-10,Canadá,CA,Australia,AU,170080356.80626214,170080356.80626214
2024-11,Canadá,CA,Australia,AU,171657723.15503845,171657723.15503845
2024-12,Canadá,CA,Australia,AU,170968250.19024408,170968250.19024408
2025-01,Canadá,CA,Australia,AU,174453536.4964707,174453536.4964707
2025-02,Canadá,CA,Australia,AU,174574558.44386923,174574558.44386923
2025-03,Canadá,CA,Australia,AU,167545821.94113648,167545821.94113648
2025-04,Canadá,CA,Australia,AU,165594020.7820496,165594020.7820496
2025-05,Canadá,CA,Australia,AU,166177164.335828,166177164.335828
2025-06,Canadá,CA,Australia,AU,189795363.177457,189795363.177457
2025-07,Canadá,CA,Australia,AU,187086998.0385428,187086998.0385428
2025-08,Canadá,CA,Australia,AU,186212173.3353939,186212173.3353939
2025-09,Canadá,CA,Australia,AU,184266477.67540753,184266477.67540753
2025-10,Canadá,CA,Australia,AU,159702600.64201728,159702600.64201728
2025-11,Canadá,CA,Australia,AU,160017725.04031217,160017725.04031217
2025-12,Canadá,CA,Australia,AU,160808164.1067964,160808164.1067964
2026-01,Canadá,CA,Australia,AU,163853335.8065912,163853335.8065912
2026-02,Canadá,CA,Australia,AU,,
2013-01,Canadá,CA,Belgica,BE,202186602.1507655,202186602.1507655
2013-02,Canadá,CA,Belgica,BE,197863568.1231898,197863568.1231898
2013-03,Canadá,CA,Belgica,BE,200724615.86326638,200724615.86326638
2013-04,Canadá,CA,Belgica,BE,200990596.5113782,200990596.5113782
2013-05,Canadá,CA,Belgica,BE,201146075.4800593,201146075.4800593
2013-06,Canadá,CA,Belgica,BE,225560683.79211637,225560683.79211637
2013-07,Canadá,CA,Belgica,BE,225178488.0051937,225178488.0051937
2013-08,Canadá,CA,Belgica,BE,221366214.52835506,221366214.52835506
2013-09,Canadá,CA,Belgica,BE,221948807.02516222,221948807.02516222
2013-10,Canadá,CA,Belgica,BE,188755118.95675924,188755118.95675924
2013-11,Canadá,CA,Belgica,BE,188526797.73767713,188526797.73767713
2013-12,Canadá,CA,Belgica,BE,182897693.88870215,182897693.88870215
2014-01,Canadá,CA,Belgica,BE,183638464.31825462,183638464.31825462
2014-02,Canadá,CA,Belgica,BE,181089207.41449884,181089207.41449884
2014-03,Canadá,CA,Belgica,BE,178040806.7047529,178040806.7047529
2014-04,Canadá,CA,Belgica,BE,180045472.46017864,180045472.46017864
2014-05,Canadá,CA,Belgica,BE,182824090.73680714,182824090.73680714
2014-06,Canadá,CA,Belgica,BE,213431195.03362715,213431195.03362715
2014-07,Canadá,CA,Belgica,BE,216429870.09618008,216429870.09618008
2014-08,Canadá,CA,Belgica,BE,216071305.82223457,216071305.82223457
2014-09,Canadá,CA,Belgica,BE,221416785.66777593,221416785.66777593
2014-10,Canadá,CA,Belgica,BE,192296319.8603622,192296319.8603622
2014-11,Canadá,CA,Belgica,BE,193354272.18622372,193354272.18622372
2014-12,Canadá,CA,Belgica,BE,192274195.06115952,192274195.06115952
2015-01,Canadá,CA,Belgica,BE,199450493.53821713,199450493.53821713
2015-02,Canadá,CA,Belgica,BE,197203929.99260485,197203929.99260485
2015-03,Canadá,CA,Belgica,BE,204970535.48552397,204970535.48552397
2015-04,Canadá,CA,Belgica,BE,210322318.95379668,210322318.95379668
2015-05,Canadá,CA,Belgica,BE,206374769.21035856,206374769.21035856
2015-06,Canadá,CA,Belgica,BE,232426136.45684052,232426136.45684052
2015-07,Canadá,CA,Belgica,BE,227980040.20279732,227980040.20279732
2015-08,Canadá,CA,Belgica,BE,219983994.06608635,219983994.06608635
2015-09,Canadá,CA,Belgica,BE,216374054.6616383,216374054.6616383
2015-10,Canadá,CA,Belgica,BE,190673703.43428984,190673703.43428984
2015-11,Canadá,CA,Belgica,BE,196512898.6655111,196512898.6655111
2015-12,Canadá,CA,Belgica,BE,187866736.60839313,187866736.60839313
2016-01,Canadá,CA,Belgica,BE,185579001.08865818,185579001.08865818
2016-02,Canadá,CA,Belgica,BE,187157047.14678478,187157047.14678478
2016-03,Canadá,CA,Belgica,BE,195051144.22444487,195051144.22444487
2016-04,Canadá,CA,Belgica,BE,196894174.28731576,196894174.28731576
2016-05,Canadá,CA,Belgica,BE,196002867.52610058,196002867.52610058
2016-06,Canadá,CA,Belgica,BE,227716813.97406214,227716813.97406214
2016-07,Canadá,CA,Belgica,BE,228485618.57456914,228485618.57456914
2016-08,Canadá,CA,Belgica,BE,226459312.0901369,226459312.0901369
2016-09,Canadá,CA,Belgica,BE,224611693.68241906,224611693.68241906
2016-10,Canadá,CA,Belgica,BE,196429678.50139353,196429678.50139353
2016-11,Canadá,CA,Belgica,BE,197448613.26788506,197448613.26788506
2016-12,Canadá,CA,Belgica,BE,203740430.63011307,203740430.63011307
2017-01,Canadá,CA,Belgica,BE,209045990.1178259,209045990.1178259
2017-02,Canadá,CA,Belgica,BE,210393938.74189207,210393938.74189207
2017-03,Canadá,CA,Belgica,BE,205044042.93363476,205044042.93363476
2017-04,Canadá,CA,Belgica,BE,203594522.99885792,203594522.99885792
2017-05,Canadá,CA,Belgica,BE,195027209.1163179,195027209.1163179
2017-06,Canadá,CA,Belgica,BE,225772136.8545864,225772136.8545864
2017-07,Canadá,CA,Belgica,BE,230398709.4549939,230398709.4549939
2017-08,Canadá,CA,Belgica,BE,226566135.0013355,226566135.0013355
2017-09,Canadá,CA,Belgica,BE,230440680.39204916,230440680.39204916
2017-10,Canadá,CA,Belgica,BE,198182981.44594216,198182981.44594216
2017-11,Canadá,CA,Belgica,BE,195846357.72308734,195846357.72308734
2017-12,Canadá,CA,Belgica,BE,194151533.41391405,194151533.41391405
2018-01,Canadá,CA,Belgica,BE,197804371.47660962,197804371.47660962
2018-02,Canadá,CA,Belgica,BE,193221779.959037,193221779.959037
2018-03,Canadá,CA,Belgica,BE,188167546.77307704,188167546.77307704
2018-04,Canadá,CA,Belgica,BE,192034412.56673196,192034412.56673196
2018-05,Canadá,CA,Belgica,BE,197404430.83218285,197404430.83218285
2018-06,Canadá,CA,Belgica,BE,225095071.2102027,225095071.2102027
2018-07,Canadá,CA,Belgica,BE,224664557.16810575,224664557.16810575
2018-08,Canadá,CA,Belgica,BE,229043329.16716042,229043329.16716042
2018-09,Canadá,CA,Belgica,BE,226816255.82243901,226816255.82243901
2018-10,Canadá,CA,Belgica,BE,200870438.5671242,200870438.5671242
